Pokemon,Type,Stat,Score
Venusaur,Grass,hp,80
Venusaur,Grass,attack,82
Venusaur,Grass,defense,83
Venusaur,Grass,sp_attack,100
Venusaur,Grass,sp_defense,100
Venusaur,Grass,speed,80
Ivysaur,Grass,hp,60
Ivysaur,Grass,attack,62
Ivysaur,Grass,defense,63
Ivysaur,Grass,sp_attack,80
Ivysaur,Grass,sp_defense,80
Ivysaur,Grass,speed,60
Bulbasaur,Grass,hp,45
Bulbasaur,Grass,attack,49
Bulbasaur,Grass,defense,49
Bulbasaur,Grass,sp_attack,65
Bulbasaur,Grass,sp_defense,65
Bulbasaur,Grass,speed,45
Eternatus,Poison,hp,140
Eternatus,Poison,attack,85
Eternatus,Poison,defense,95
Eternatus,Poison,sp_attack,145
Eternatus,Poison,sp_defense,95
Eternatus,Poison,speed,130
Zamazenta Hero of Many Battles,Fighting,hp,92
Zamazenta Hero of Many Battles,Fighting,attack,130
Zamazenta Hero of Many Battles,Fighting,defense,115
Zamazenta Hero of Many Battles,Fighting,sp_attack,80
Zamazenta Hero of Many Battles,Fighting,sp_defense,115
Zamazenta Hero of Many Battles,Fighting,speed,138
Zamazenta Crowned Shield,Fighting,hp,92
Zamazenta Crowned Shield,Fighting,attack,130
Zamazenta Crowned Shield,Fighting,defense,145
Zamazenta Crowned Shield,Fighting,sp_attack,80
Zamazenta Crowned Shield,Fighting,sp_defense,145
Zamazenta Crowned Shield,Fighting,speed,128
Zacian Hero of Many Battles,Fairy,hp,92
Zacian Hero of Many Battles,Fairy,attack,130
Zacian Hero of Many Battles,Fairy,defense,115
Zacian Hero of Many Battles,Fairy,sp_attack,80
Zacian Hero of Many Battles,Fairy,sp_defense,115
Zacian Hero of Many Battles,Fairy,speed,138
Zacian Crowned Sword,Fairy,hp,92
Zacian Crowned Sword,Fairy,attack,170
Zacian Crowned Sword,Fairy,defense,115
Zacian Crowned Sword,Fairy,sp_attack,80
Zacian Crowned Sword,Fairy,sp_defense,115
Zacian Crowned Sword,Fairy,speed,148
Dragapult,Dragon,hp,88
Dragapult,Dragon,attack,120
Dragapult,Dragon,defense,75
Dragapult,Dragon,sp_attack,100
Dragapult,Dragon,sp_defense,75
Dragapult,Dragon,speed,142
Drakloak,Dragon,hp,68
Drakloak,Dragon,attack,80
Drakloak,Dragon,defense,50
Drakloak,Dragon,sp_attack,60
Drakloak,Dragon,sp_defense,50
Drakloak,Dragon,speed,102
Dreepy,Dragon,hp,28
Dreepy,Dragon,attack,60
Dreepy,Dragon,defense,30
Dreepy,Dragon,sp_attack,40
Dreepy,Dragon,sp_defense,30
Dreepy,Dragon,speed,82
Duraludon,Steel,hp,70
Duraludon,Steel,attack,95
Duraludon,Steel,defense,115
Duraludon,Steel,sp_attack,120
Duraludon,Steel,sp_defense,50
Duraludon,Steel,speed,85
Arctovish,Water,hp,90
Arctovish,Water,attack,90
Arctovish,Water,defense,100
Arctovish,Water,sp_attack,80
Arctovish,Water,sp_defense,90
Arctovish,Water,speed,55
Dracovish,Water,hp,90
Dracovish,Water,attack,90
Dracovish,Water,defense,100
Dracovish,Water,sp_attack,70
Dracovish,Water,sp_defense,80
Dracovish,Water,speed,75
Arctozolt,Electric,hp,90
Arctozolt,Electric,attack,100
Arctozolt,Electric,defense,90
Arctozolt,Electric,sp_attack,90
Arctozolt,Electric,sp_defense,80
Arctozolt,Electric,speed,55
Dracozolt,Electric,hp,90
Dracozolt,Electric,attack,100
Dracozolt,Electric,defense,90
Dracozolt,Electric,sp_attack,80
Dracozolt,Electric,sp_defense,70
Dracozolt,Electric,speed,75
Copperajah,Steel,hp,122
Copperajah,Steel,attack,130
Copperajah,Steel,defense,69
Copperajah,Steel,sp_attack,80
Copperajah,Steel,sp_defense,69
Copperajah,Steel,speed,30
Cufant,Steel,hp,72
Cufant,Steel,attack,80
Cufant,Steel,defense,49
Cufant,Steel,sp_attack,40
Cufant,Steel,sp_defense,49
Cufant,Steel,speed,40
Morpeko Hangry Mode,Electric,hp,58
Morpeko Hangry Mode,Electric,attack,95
Morpeko Hangry Mode,Electric,defense,58
Morpeko Hangry Mode,Electric,sp_attack,70
Morpeko Hangry Mode,Electric,sp_defense,58
Morpeko Hangry Mode,Electric,speed,97
Morpeko Full Belly Mode,Electric,hp,58
Morpeko Full Belly Mode,Electric,attack,95
Morpeko Full Belly Mode,Electric,defense,58
Morpeko Full Belly Mode,Electric,sp_attack,70
Morpeko Full Belly Mode,Electric,sp_defense,58
Morpeko Full Belly Mode,Electric,speed,97
Indeedee Female,Psychic,hp,70
Indeedee Female,Psychic,attack,55
Indeedee Female,Psychic,defense,65
Indeedee Female,Psychic,sp_attack,95
Indeedee Female,Psychic,sp_defense,105
Indeedee Female,Psychic,speed,85
Indeedee Male,Psychic,hp,60
Indeedee Male,Psychic,attack,65
Indeedee Male,Psychic,defense,55
Indeedee Male,Psychic,sp_attack,105
Indeedee Male,Psychic,sp_defense,95
Indeedee Male,Psychic,speed,95
Eiscue Noice Face,Ice,hp,75
Eiscue Noice Face,Ice,attack,80
Eiscue Noice Face,Ice,defense,70
Eiscue Noice Face,Ice,sp_attack,65
Eiscue Noice Face,Ice,sp_defense,50
Eiscue Noice Face,Ice,speed,130
Eiscue Ice Face,Ice,hp,75
Eiscue Ice Face,Ice,attack,80
Eiscue Ice Face,Ice,defense,110
Eiscue Ice Face,Ice,sp_attack,65
Eiscue Ice Face,Ice,sp_defense,90
Eiscue Ice Face,Ice,speed,50
Stonjourner,Rock,hp,100
Stonjourner,Rock,attack,125
Stonjourner,Rock,defense,135
Stonjourner,Rock,sp_attack,20
Stonjourner,Rock,sp_defense,20
Stonjourner,Rock,speed,70
Frosmoth,Ice,hp,70
Frosmoth,Ice,attack,65
Frosmoth,Ice,defense,60
Frosmoth,Ice,sp_attack,125
Frosmoth,Ice,sp_defense,90
Frosmoth,Ice,speed,65
Snom,Ice,hp,30
Snom,Ice,attack,25
Snom,Ice,defense,35
Snom,Ice,sp_attack,45
Snom,Ice,sp_defense,30
Snom,Ice,speed,20
Pincurchin,Electric,hp,48
Pincurchin,Electric,attack,101
Pincurchin,Electric,defense,95
Pincurchin,Electric,sp_attack,91
Pincurchin,Electric,sp_defense,85
Pincurchin,Electric,speed,15
Falinks,Fighting,hp,65
Falinks,Fighting,attack,100
Falinks,Fighting,defense,100
Falinks,Fighting,sp_attack,70
Falinks,Fighting,sp_defense,60
Falinks,Fighting,speed,75
Alcremie,Fairy,hp,65
Alcremie,Fairy,attack,60
Alcremie,Fairy,defense,75
Alcremie,Fairy,sp_attack,110
Alcremie,Fairy,sp_defense,121
Alcremie,Fairy,speed,64
